Character,Betweenness Centrality
Eddard-Stark,0.2696038913836117
Robert-Baratheon,0.21403028397371796
Tyrion-Lannister,0.1902124972697492
Jon-Snow,0.17158135899829566
Catelyn-Stark,0.1513952715347627
Daenerys-Targaryen,0.08627015537511595
Robb-Stark,0.07298399629664767
Drogo,0.06481224290874964
Bran-Stark,0.05579958811784442
Sansa-Stark,0.03714483664326785
Benjen-Stark,0.03293306050027417
Walder-Frey,0.032338618467650716
Jaime-Lannister,0.0320095542681723
Jeor-Mormont,0.028345621007255038
Cersei-Lannister,0.026434677939526103
Tywin-Lannister,0.026190475931508066
Loras-Tyrell,0.022409577164998796
Shagga,0.02159256030223772
Gerold-Hightower,0.02144725370531822
Danwell-Frey,0.02138913106655042
Edmure-Tully,0.01963307983379491
Joffrey-Baratheon,0.018949350296839806
Lysa-Arryn,0.01821323157123013
Jory-Cassel,0.01752453849363612
Arya-Stark,0.017495289470929955
Samwell-Tarly,0.014449634885820021
Luwin,0.013182650228125651
Jorah-Mormont,0.012611106728154204
Jon-Arryn,0.012525043642810938
Aemon-Targaryen-(Maester-Aemon),0.010844715683425361
Varys,0.010794552272183802
Conn,0.01075268817204301
Beric-Dondarrion,0.01075268817204301
Ogo,0.01075268817204301
Mace-Tyrell,0.01075268817204301
Tytos-Blackwood,0.01075268817204301
Jaremy-Rykker,0.01075268817204301
Karyl-Vance,0.01075268817204301
Theon-Greyjoy,0.00980833131274694
Renly-Baratheon,0.009635188708026638
Rodrik-Cassel,0.00963397409313393
Rickard-Karstark,0.009473682089536549
Petyr-Baelish,0.009436743202985242
Waymar-Royce,0.006708358729333187
Sandor-Clegane,0.006237666841098885
Marq-Piper,0.0062369436762998
Alliser-Thorne,0.005026701469957172
Gared,0.004328212613689769
Bronn,0.004124576359910305
Brynden-Tully,0.00383234320543726
Jon-Umber-(Greatjon),0.0033242714657788115
Gregor-Clegane,0.002923862955280991
Viserys-Targaryen,0.002857503691485831
Rhaegar-Targaryen,0.0028204821920682827
Brandon-Stark,0.002080261918971597
Wyl-(guard),0.0016301901690895994
Barristan-Selmy,0.0012358894598099792
Illyrio-Mopatis,0.0011992863048539452
Vardis-Egen,0.0011877067734453138
Mordane,0.0010561655570225142
Galbart-Glover,0.0008706693487442282
Meryn-Trant,0.0006984119660127081
Tommen-Baratheon,0.000554548184780281
Aerys-II-Targaryen,0.00048173749786653005
Hullen,0.0004513970364915859
Stannis-Baratheon,0.0004430380168891369
Hoster-Tully,0.0003909562718491462
Willis-Wode,0.00038763506505441997
Pycelle,0.0003210706351837933
Ilyn-Payne,0.0003199575146182485
Harwin,0.0003166711322941555
Alyn,0.0003145710264731398
Tomard,0.0002966978204169855
Torrhen-Karstark,0.00027229994971930455
Yoren,0.00021138387522088702
Halder,0.0002102102102102102
Grenn,0.0002024605250411702
Syrio-Forel,0.00012300558547174553
Qotho,0.00011624527753560009
Irri,9.590235396687009e-05
Rickon-Stark,8.984632696126533e-05
Rickard-Stark,8.86701693153306e-05
Rast,7.749685169040008e-05
Pypar,7.459071975201007e-05
Aggo,7.265329845975008e-05
Haggo,6.780974522910006e-05
Jeyne-Poole,6.109796432377078e-05
Mirri-Maz-Duur,4.8435532306500046e-05
Jhogo,4.359197907585004e-05
Rakharo,3.390487261455003e-05
Lyanna-Stark,3.321293643874289e-05
Quaro,2.906131938390003e-05
Myrcella-Baratheon,2.8230995972931453e-05
Roose-Bolton,2.4944299137847526e-05
Cayn,2.179598953792502e-05
Doreah,1.1624527753560013e-05
Gendry,0.0
Howland-Reed,0.0
Maegor-I-Targaryen,0.0
Mord,0.0
Randyll-Tarly,0.0
Dywen,0.0
High-Septon-(fat_one),0.0
Jacks,0.0
Rhaego,0.0
Joss,0.0
Timett,0.0
Paxter-Redwyne,0.0
Jommo,0.0
Porther,0.0
Donal-Noye,0.0
Raymun-Darry,0.0
Tobho-Mott,0.0
Jonos-Bracken,0.0
Jyck,0.0
Morrec,0.0
Kurleket,0.0
Othor,0.0
Matthar,0.0
Kevan-Lannister,0.0
Jafer-Flowers,0.0
Hugh,0.0
Hobb,0.0
Heward,0.0
Lancel-Lannister,0.0
Harys-Swyft,0.0
Gunthor-son-of-Gurn,0.0
Todder,0.0
Oswell-Whent,0.0
Leo-Lefford,0.0
Lyn-Corbray,0.0
Will-(prologue),0.0
Maege-Mormont,0.0
Wylla,0.0
Varly,0.0
Tregar,0.0
Fogo,0.0
Addam-Marbrand,0.0
Dolf,0.0
Chiggen,0.0
Osha,0.0
Nan,0.0
Joseth,0.0
Hodor,0.0
Hallis-Mollen,0.0
Hali,0.0
Thoros-of-Myr,0.0
Mance-Rayder,0.0
Boros-Blount,0.0
Balon-Swann,0.0
Balon-Greyjoy,0.0
Arys-Oakheart,0.0
Vayon-Poole,0.0
Mycah,0.0
Desmond,0.0
Arthur-Dayne,0.0
Albett,0.0
Clydas,0.0
Chett,0.0
Bowen-Marsh,0.0
Aegon-I-Targaryen,0.0
Stiv,0.0
Marillion,0.0
Daryn-Hornwood,0.0
Shae,0.0
Dareon,0.0
Jared-Frey,0.0
Hosteen-Frey,0.0
Jhiqui,0.0
Eroeh,0.0
Coratt,0.0
Cohollo,0.0
Clement-Piper,0.0
Chella,0.0
Janos-Slynt,0.0
Wendel-Manderly,0.0
Stevron-Frey,0.0
Robert-Arryn,0.0
Mychel-Redfort,0.0
Mya-Stone,0.0
Moreo-Tumitis,0.0
Masha-Heddle,0.0
Eon-Hunter,0.0
Donnel-Waynwood,0.0
Colemon,0.0
Nestor-Royce,0.0
Ulf-son-of-Umar,0.0
