Character,Closeness Centrality
Eddard-Stark,0.5636363636363636
Robert-Baratheon,0.5454545454545454
Tyrion-Lannister,0.510989010989011
Catelyn-Stark,0.5054347826086957
Robb-Stark,0.49732620320855614
Jon-Snow,0.493368700265252
Sansa-Stark,0.48947368421052634
Bran-Stark,0.4869109947643979
Cersei-Lannister,0.484375
Joffrey-Baratheon,0.4806201550387597
Jaime-Lannister,0.46153846153846156
Arya-Stark,0.458128078817734
Petyr-Baelish,0.457002457002457
Rodrik-Cassel,0.45365853658536587
Theon-Greyjoy,0.45036319612590797
Tywin-Lannister,0.4492753623188406
Luwin,0.4492753623188406
Varys,0.4460431654676259
Rickon-Stark,0.4397163120567376
Jon-Arryn,0.4376470588235294
Jory-Cassel,0.43661971830985913
Renly-Baratheon,0.43457943925233644
Benjen-Stark,0.4325581395348837
Lysa-Arryn,0.4295612009237875
Gregor-Clegane,0.4189189189189189
Jeor-Mormont,0.4161073825503356
Sandor-Clegane,0.41517857142857145
Mordane,0.40611353711790393
Rickard-Karstark,0.40611353711790393
Daenerys-Targaryen,0.40522875816993464
Edmure-Tully,0.40522875816993464
Stannis-Baratheon,0.4017278617710583
Rhaegar-Targaryen,0.4
Loras-Tyrell,0.39828693790149894
Pycelle,0.39828693790149894
Barristan-Selmy,0.39323467230443976
Tommen-Baratheon,0.39323467230443976
Ilyn-Payne,0.3866943866943867
Aerys-II-Targaryen,0.38589211618257263
Yoren,0.38509316770186336
Brynden-Tully,0.384297520661157
Galbart-Glover,0.3835051546391753
Beric-Dondarrion,0.3835051546391753
Hoster-Tully,0.3835051546391753
Janos-Slynt,0.38271604938271603
Vayon-Poole,0.38271604938271603
Alyn,0.3803680981595092
Brandon-Stark,0.3803680981595092
Gerold-Hightower,0.3803680981595092
Lyanna-Stark,0.3803680981595092
Drogo,0.3795918367346939
Torrhen-Karstark,0.3780487804878049
Raymun-Darry,0.3765182186234818
Balon-Greyjoy,0.3765182186234818
Aegon-I-Targaryen,0.3765182186234818
Marq-Piper,0.37575757575757573
Tomard,0.375
Jorah-Mormont,0.37424547283702214
Mycah,0.3727454909819639
Bronn,0.3712574850299401
Viserys-Targaryen,0.3705179282868526
Syrio-Forel,0.3697813121272366
Illyrio-Mopatis,0.36904761904761907
Desmond,0.3683168316831683
Meryn-Trant,0.3675889328063241
Wyl-(guard),0.3675889328063241
Myrcella-Baratheon,0.3661417322834646
High-Septon-(fat_one),0.36470588235294116
Jeyne-Poole,0.36470588235294116
Harwin,0.36470588235294116
Cayn,0.36328125
Alliser-Thorne,0.36328125
Willis-Wode,0.36257309941520466
Marillion,0.36186770428015563
Daryn-Hornwood,0.36186770428015563
Porther,0.3611650485436893
Tobho-Mott,0.3611650485436893
Tregar,0.3611650485436893
Wylla,0.3611650485436893
Varly,0.3611650485436893
Joss,0.3611650485436893
Jacks,0.3611650485436893
Gendry,0.3611650485436893
Howland-Reed,0.3611650485436893
Walder-Frey,0.36046511627906974
Vardis-Egen,0.3597678916827853
Jon-Umber-(Greatjon),0.3583815028901734
Samwell-Tarly,0.3576923076923077
Robert-Arryn,0.3576923076923077
Kevan-Lannister,0.3570057581573896
Hallis-Mollen,0.3549618320610687
Lancel-Lannister,0.35361216730038025
Hullen,0.3516068052930057
Wendel-Manderly,0.34896810506566606
Shagga,0.3438077634011091
Roose-Bolton,0.3425414364640884
Conn,0.34191176470588236
Nan,0.3412844036697248
Hodor,0.3412844036697248
Timett,0.34065934065934067
Osha,0.34065934065934067
Chiggen,0.340036563071298
Stiv,0.340036563071298
Tytos-Blackwood,0.340036563071298
Boros-Blount,0.33941605839416056
Jyck,0.33941605839416056
Shae,0.33941605839416056
Morrec,0.33941605839416056
Chella,0.33879781420765026
Gunthor-son-of-Gurn,0.33879781420765026
Kurleket,0.33879781420765026
Stevron-Frey,0.33879781420765026
Eon-Hunter,0.33879781420765026
Leo-Lefford,0.33879781420765026
Mord,0.33879781420765026
Aemon-Targaryen-(Maester-Aemon),0.33695652173913043
Nestor-Royce,0.33695652173913043
Colemon,0.33695652173913043
Mychel-Redfort,0.33634719710669075
Grenn,0.33634719710669075
Mya-Stone,0.33634719710669075
Moreo-Tumitis,0.33634719710669075
Masha-Heddle,0.33634719710669075
Donnel-Waynwood,0.33634719710669075
Halder,0.33574007220216606
Bowen-Marsh,0.33574007220216606
Jaremy-Rykker,0.33574007220216606
Pypar,0.33513513513513515
Rast,0.3345323741007194
Chett,0.3333333333333333
Todder,0.33273703041144903
Albett,0.33214285714285713
Dareon,0.3309608540925267
Donal-Noye,0.3309608540925267
Othor,0.3309608540925267
Hobb,0.3309608540925267
Matthar,0.3309608540925267
Dywen,0.3309608540925267
Rickard-Stark,0.33037300177619894
Maegor-I-Targaryen,0.3292035398230089
Joseth,0.3286219081272085
Hali,0.328042328042328
Arys-Oakheart,0.3268892794376098
Addam-Marbrand,0.3234782608695652
Harys-Swyft,0.3163265306122449
Balon-Swann,0.3059210526315789
Heward,0.30491803278688523
Hugh,0.30491803278688523
Waymar-Royce,0.3044189852700491
Mance-Rayder,0.3024390243902439
Lyn-Corbray,0.30097087378640774
Gared,0.2961783439490446
Irri,0.2938388625592417
Qotho,0.29337539432176657
Mirri-Maz-Duur,0.2929133858267717
Aggo,0.2929133858267717
Haggo,0.2929133858267717
Doreah,0.2929133858267717
Jhogo,0.2929133858267717
Quaro,0.29245283018867924
Rakharo,0.29245283018867924
Jhiqui,0.29245283018867924
Cohollo,0.29199372056514916
Karyl-Vance,0.29107981220657275
Maege-Mormont,0.290625
Eroeh,0.2888198757763975
Mace-Tyrell,0.28615384615384615
Thoros-of-Myr,0.27761194029850744
Ogo,0.2767857142857143
Jommo,0.2763744427934621
Oswell-Whent,0.27596439169139464
Arthur-Dayne,0.27596439169139464
Rhaego,0.27555555555555555
Danwell-Frey,0.266857962697274
Randyll-Tarly,0.26382978723404255
Dolf,0.256198347107438
Ulf-son-of-Umar,0.256198347107438
Coratt,0.2551440329218107
Jonos-Bracken,0.2540983606557377
Clydas,0.25237449118046135
Jafer-Flowers,0.2516914749661705
Will-(prologue),0.2363405336721728
Clement-Piper,0.22572815533980584
Paxter-Redwyne,0.22275449101796407
Fogo,0.21703617269544925
Hosteen-Frey,0.21112372304199772
Jared-Frey,0.21112372304199772
