Character,Eigenvector Centrality
Eddard-Stark,0.29640893871843454
Robert-Baratheon,0.2694880017758138
Sansa-Stark,0.23155019835665291
Tyrion-Lannister,0.22520388145217876
Joffrey-Baratheon,0.22075394589376898
Cersei-Lannister,0.21643331139694164
Catelyn-Stark,0.2125500023398912
Petyr-Baelish,0.20146404432553502
Jaime-Lannister,0.19495798576036363
Bran-Stark,0.193772068228512
Robb-Stark,0.19253612354629224
Arya-Stark,0.17848320231945491
Jon-Snow,0.17046044936828572
Renly-Baratheon,0.15322872424399955
Varys,0.15044258583494022
Jory-Cassel,0.14468019419020758
Tywin-Lannister,0.13939046584052592
Rodrik-Cassel,0.13639573532620883
Sandor-Clegane,0.13458575177273224
Jon-Arryn,0.12467394372126449
Barristan-Selmy,0.123027188772949
Pycelle,0.12219169081693489
Stannis-Baratheon,0.10945155967262633
Loras-Tyrell,0.1078658880801616
Theon-Greyjoy,0.10563256306460307
Mordane,0.103388317769585
Luwin,0.10255033886172547
Gregor-Clegane,0.10138445097297558
Lysa-Arryn,0.0952956821034699
Rickon-Stark,0.0911971493584744
Benjen-Stark,0.09067422893446864
Ilyn-Payne,0.08701709456214837
Janos-Slynt,0.07879610821922745
Tommen-Baratheon,0.07444060512260164
Meryn-Trant,0.07310608185356997
Edmure-Tully,0.06806757359530646
Brynden-Tully,0.06678578692261304
Rickard-Karstark,0.0659011410503648
Myrcella-Baratheon,0.06545937981560089
Jeor-Mormont,0.05708614464400136
Tomard,0.05654806881254955
Yoren,0.056038757146697815
Vayon-Poole,0.05590033474448938
Mycah,0.053689814655298894
Rhaegar-Targaryen,0.05213837687676226
Beric-Dondarrion,0.05103495200514705
Jeyne-Poole,0.04944286706830398
Aerys-II-Targaryen,0.04858263408723131
Daenerys-Targaryen,0.047389349606781005
Brandon-Stark,0.044018473716797464
Boros-Blount,0.04373268037151272
Bronn,0.04320727044390088
Lyanna-Stark,0.04254945728318319
Galbart-Glover,0.041150523226704164
Hallis-Mollen,0.040809389509349696
Hullen,0.04026631802680755
Alyn,0.04012382043745946
Jon-Umber-(Greatjon),0.03978141567223781
Walder-Frey,0.03698403170981995
Hoster-Tully,0.036012610258341765
Willis-Wode,0.03365454795750186
Marillion,0.03291934444006452
Wyl-(guard),0.032615625065451716
Gerold-Hightower,0.031231471653479878
Marq-Piper,0.030858678967445183
Vardis-Egen,0.030626468252802977
Alliser-Thorne,0.02884644061917081
Balon-Greyjoy,0.02861514635331537
Raymun-Darry,0.02861514635331537
Kevan-Lannister,0.02829436440378276
Samwell-Tarly,0.027862966057814832
Syrio-Forel,0.027710001448224893
Robert-Arryn,0.026954349809779465
Harwin,0.026369147283276648
High-Septon-(fat_one),0.02615076698505185
Nan,0.02603658498719332
Hodor,0.02603658498719332
Cayn,0.02559566501193553
Torrhen-Karstark,0.0255473173807547
Osha,0.024719976850451932
Roose-Bolton,0.02420921034220198
Jorah-Mormont,0.024102672246267703
Desmond,0.024013374348794244
Viserys-Targaryen,0.022757626238469313
Drogo,0.02259083571954164
Wendel-Manderly,0.020483802572939185
Illyrio-Mopatis,0.01993116963380357
Stiv,0.019534293195257405
Aegon-I-Targaryen,0.017384680879533473
Eon-Hunter,0.017115289146141632
Addam-Marbrand,0.01690662287534132
Grenn,0.016396904918364538
Daryn-Hornwood,0.016280026049412054
Jaremy-Rykker,0.016132796236034825
Aemon-Targaryen-(Maester-Aemon),0.01572891559042457
Chiggen,0.015274406249032448
Bowen-Marsh,0.015169602126328254
Joss,0.014988191015951212
Jacks,0.014988191015951212
Tobho-Mott,0.014988191015951212
Tregar,0.014988191015951212
Varly,0.014988191015951212
Wylla,0.014988191015951212
Porther,0.014988191015951212
Howland-Reed,0.014988191015951212
Gendry,0.014988191015951212
Joseth,0.014984063022980335
Shagga,0.014878030691395311
Halder,0.014781007284671958
Balon-Swann,0.014553468136728894
Pypar,0.014297337660772637
Tytos-Blackwood,0.014226177567193622
Nestor-Royce,0.014125023204130269
Lancel-Lannister,0.013626955337364157
Shae,0.013572598080797952
Rast,0.01346611059097099
Stevron-Frey,0.012618064751098576
Colemon,0.0122965696102712
Conn,0.012171201129333934
Timett,0.012140078774563495
Rickard-Stark,0.012024202454347143
Morrec,0.011994252167140446
Jyck,0.011994252167140446
Maegor-I-Targaryen,0.011708487843306487
Leo-Lefford,0.01138774152844144
Kurleket,0.01138774152844144
Gunthor-son-of-Gurn,0.01138774152844144
Mord,0.01138774152844144
Chella,0.01138774152844144
Arys-Oakheart,0.010944095989904618
Todder,0.010919406010291673
Chett,0.010824124243907149
Mya-Stone,0.010747888745467588
Moreo-Tumitis,0.010747888745467588
Masha-Heddle,0.010747888745467588
Donnel-Waynwood,0.010747888745467588
Mychel-Redfort,0.010747888745467588
Albett,0.010048162713271913
Harys-Swyft,0.009858194405182262
Hali,0.009798379367785805
Heward,0.00896514035249913
Donal-Noye,0.008619680042012709
Hobb,0.008619680042012709
Dywen,0.008619680042012709
Dareon,0.008619680042012709
Matthar,0.008619680042012709
Othor,0.008619680042012709
Irri,0.007816169006182783
Doreah,0.006581729076365157
Hugh,0.006304223856049022
Jhogo,0.00571204867284141
Qotho,0.005692241579735826
Mirri-Maz-Duur,0.0055639797278716294
Jhiqui,0.005486256953771576
Aggo,0.0054811307155646334
Mace-Tyrell,0.0054682574864300445
Maege-Mormont,0.005344035151065861
Karyl-Vance,0.005015125987307615
Lyn-Corbray,0.004818719535870435
Waymar-Royce,0.004764556359398813
Mance-Rayder,0.004585129661056268
Haggo,0.004529286288515296
Quaro,0.004319920160802585
Rakharo,0.004263929104536289
Cohollo,0.004056089872611764
Gared,0.0031479020740754755
Thoros-of-Myr,0.002580606209997589
Eroeh,0.002396489863582261
Danwell-Frey,0.001880305381989621
Oswell-Whent,0.0015792463861233263
Arthur-Dayne,0.0015792463861233263
Randyll-Tarly,0.0014090284278002367
Ogo,0.0012065144544696016
Jommo,0.0012035737794513144
Rhaego,0.0011425368414569484
Jafer-Flowers,0.0008158136301284559
Clydas,0.0007954157740942035
Dolf,0.0007523372461220542
Ulf-son-of-Umar,0.0007523372461220542
Jonos-Bracken,0.000719370310553988
Coratt,0.0006154589629808151
Will-(prologue),0.0004001277877619066
Paxter-Redwyne,0.00027649966971300834
Clement-Piper,0.00025359433439615036
Jared-Frey,0.00010014875657557117
Hosteen-Frey,0.00010014875657557117
Fogo,6.1036937994366e-05
